Cow,Lact,dim_mean,milk_mean,milk_sd,clinical
1,6,7.5,109.55,16.3,0
2,3,79.56,110.43,12.96,1
3,3,57,119.11,13.61,0
4,3,63,131.39,12.28,1
5,3,55.76,116.93,15.63,0
6,3,58.2,105.35,10.79,1
7,3,112.5,104.34,9.28,1
8,3,77.5,120.19,17.38,0
9,3,16,119.09,13.75,1
10,3,37.5,128.04,14.33,1
11,3,71,112.72,14.81,0
12,3,57.5,126.22,13.17,0
13,3,77.5,148.53,17.07,1
14,3,76.54,109.57,19.12,0
15,3,37,154.28,11.76,1
16,3,72.82,125.1,14.07,0
17,3,39.5,131.43,14.08,0
18,3,35,120.31,12.34,0
19,3,60.3,125.76,12.87,0
20,3,77.89,112.94,15.58,0
21,4,64.5,162.32,19.31,0
22,3,22,84.12,17.13,0
23,3,102.5,137.18,16.11,0
24,3,27,117.35,14.2,1
25,3,53,119.61,12.04,0
26,3,53,126.6,13.68,1
27,3,29,126.7,14.75,0
28,3,70.04,122.27,15.49,1
29,3,19.5,118.8,25.4,0
30,3,61,115.24,12.7,1
31,3,69.61,122.4,18.36,1
32,3,50,128.63,13.7,1
33,3,68.6,111.74,13.89,0
34,3,81.64,120.91,11.48,0
35,3,84.16,136.46,13.84,0
36,3,74.71,127.81,15.49,1
37,3,44.95,122.75,14.8,1
38,3,32,146.47,16.45,0
39,3,75.5,127.33,13.45,0
40,3,49,127.44,15.58,1
41,2,154,113.95,21.71,0
42,3,67.72,112.99,14.99,0
43,3,53,131.92,15.97,1
44,3,16,129,6.25,0
45,3,85.13,113.3,20.66,0
46,3,91.65,125.21,14.31,1
47,3,58.7,110.49,12.87,1
48,3,55,123.11,14.38,0
49,3,46.5,115.45,13.69,0
50,3,58,120.71,12.63,1
51,3,69.7,101.94,13.59,0
52,4,62.5,155.14,18.96,0
53,3,51,141.27,16.7,1
54,4,44.5,60.24,4.35,0
55,3,68,98.79,11.25,0
56,2,158.24,116.92,19.78,0
57,10,65.5,83.86,14.6,1
58,3,57.5,120.42,14.24,0
59,3,153.07,96.22,19.53,1
60,3,43.99,137.56,15.46,0
61,3,58,141.96,15.57,0
62,3,44.97,124.15,14.65,0
63,3,49.5,140,15.9,1
64,3,47.5,127.6,15.73,0
65,3,24.5,145.24,13.65,0
66,3,43.26,133.15,31.46,0
67,3,56.79,129.28,12.83,0
68,2,163.42,117.92,26.31,0
69,3,123.79,115.5,15.67,1
70,3,13.5,102.09,9.4,0
71,2,89.08,102.52,13.82,1
72,2,130.3,102.68,19.66,0
73,3,20,126.26,11.21,0
74,3,39,117.65,12.12,0
75,3,46,130.92,16.45,0
76,3,40.5,135.3,13.27,0
77,3,39,131.71,17.58,1
78,4,61.04,151.16,15.22,0
79,3,65.5,124.39,9.73,0
80,3,26.5,146.91,12.96,1
81,3,49.43,141.15,17.71,0
82,3,42.5,147.29,15.89,1
83,3,41.5,116.07,17.61,0
84,3,66.29,69.63,6.7,0
85,4,37,136.16,12.48,1
86,3,33.5,57.7,NA,1
87,3,13,118.57,13.34,1
88,2,157.71,119.25,15.37,0
89,3,37.5,144.62,14.92,0
90,3,21,121.51,17.75,0
91,2,163.95,106.42,16.96,0
92,3,100,117.3,19.54,0
93,3,36.5,136.35,16.89,0
94,3,41,146.55,16.32,0
